CLIENTNUM,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
708176208,48.0,1.0,36.0,4.0,4.0,1.0,7268.0,0.0,7268.0,0.691,4199.0,80.0,0.905,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
716474358,43.0,3.0,35.0,5.0,3.0,2.0,1721.0,729.0,992.0,0.902,4853.0,74.0,0.644,0.424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
713121408,38.0,3.0,30.0,5.0,3.0,2.0,3976.0,1667.0,2309.0,0.929,4372.0,69.0,0.683,0.419,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
794567133,52.0,2.0,35.0,5.0,2.0,3.0,1954.0,808.0,1146.0,0.826,4897.0,70.0,0.795,0.414,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
717609633,44.0,3.0,32.0,6.0,2.0,2.0,12725.0,1759.0,10966.0,1.056,4139.0,58.0,0.812,0.138,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
708899283,40.0,3.0,28.0,3.0,3.0,3.0,2690.0,1935.0,755.0,0.593,4917.0,81.0,0.653,0.719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
772415808,48.0,5.0,38.0,3.0,3.0,1.0,2926.0,716.0,2210.0,0.949,4219.0,78.0,0.592,0.245,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
716176683,46.0,4.0,33.0,5.0,1.0,1.0,2371.0,1748.0,623.0,0.663,4460.0,78.0,1.053,0.737,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
709245783,44.0,3.0,27.0,5.0,1.0,1.0,7751.0,1965.0,5786.0,0.782,4543.0,90.0,0.731,0.254,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
720507108,42.0,3.0,28.0,3.0,3.0,2.0,1601.0,0.0,1601.0,0.63,2339.0,41.0,0.414,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
